GrLivArea,BedroomAbvGr,FullBath,SalePrice
1710,3,2,208500
1262,3,2,181500
1786,3,2,223500
1717,3,1,140000
2198,4,2,250000
1362,1,1,143000
1694,3,2,307000
2090,3,2,200000
1774,2,2,129900
1077,2,1,118000
1040,3,1,129500
2324,4,3,345000
912,2,1,144000
1494,3,2,279500
1253,2,1,157000
854,2,1,132000
1004,2,1,149000
1296,2,2,90000
1114,3,1,159000
1339,3,1,139000
2376,4,3,325300
1108,3,1,139400
1795,3,2,230000
1060,3,1,129900
1060,3,1,154000
1600,3,2,256300
900,3,1,134800
1704,3,2,306000
1600,2,1,207500
520,1,1,68500
1317,3,1,40000
1228,3,1,149350
1234,3,2,179900
1700,4,1,165500
1561,2,2,277500
2452,4,3,309000
1097,3,1,145000
1297,3,1,153000
1057,3,1,109000
1152,2,2,82000
1324,3,2,160000
1328,2,1,170000
884,2,1,144000
938,3,1,130250
1150,3,1,141000
1752,2,2,319900
2149,1,1,239686
1656,3,2,249700
1452,2,2,113000
955,3,1,127000
1470,3,2,177000
1176,3,1,114500
816,2,1,110000
1842,0,0,385000
1360,3,1,130000
1425,3,2,180500
1739,3,2,172500
1720,3,2,196500
2945,3,3,438780
780,2,1,124900
1158,3,1,158000
1111,3,1,101000
1370,2,2,202500
1710,3,2,140000
2034,3,2,219500
2473,4,2,317000
2207,3,2,180000
1479,3,2,226000
747,2,1,80000
2287,3,2,225000
2223,3,2,244000
845,2,1,129500
1718,3,2,185000
1086,3,1,144900
1605,3,2,107400
988,2,1,91000
952,2,1,135750
1285,2,1,127000
1768,4,2,136500
1230,2,1,110000
2142,4,2,193500
1337,2,2,153500
1563,3,2,245000
1065,3,1,126500
1474,3,2,168500
2417,4,2,260000
1560,3,2,174000
1224,2,2,164500
1526,2,1,85000
990,3,1,123600
1040,2,1,109900
1235,2,1,98600
964,2,1,163500
2291,4,2,133900
1786,3,2,204750
1470,3,2,185000
1588,3,2,214000
960,3,1,94750
835,2,1,83000
1225,3,1,128950
1610,3,2,205000
1732,3,2,178000
1535,4,2,118964
1226,3,2,198900
1818,4,1,169500
1992,3,2,250000
1047,2,1,100000
789,2,1,115000
1517,3,2,115000
1844,3,2,190000
1855,4,2,136900
1430,3,2,180000
2696,4,2,383970
2259,3,2,217000
2320,3,2,259500
1458,2,2,176000
1092,3,1,139000
1125,2,1,155000
3222,5,3,320000
1456,3,2,163990
988,1,1,180000
1123,3,1,100000
1080,3,1,136000
1199,2,2,153900
1586,3,2,181000
754,2,1,84500
958,2,2,128000
840,3,1,87000
1348,3,1,155000
1053,3,1,150000
2157,4,2,226000
2054,3,2,244000
1327,3,1,150750
1296,2,2,220000
1721,3,2,180000
1682,3,2,174000
1214,3,2,143000
1959,5,3,171000
1852,3,2,230000
1764,3,2,231500
864,3,1,115000
1734,3,2,260000
1385,4,2,166000
1501,3,2,204000
1728,6,2,125000
1709,3,2,130000
875,2,1,105000
2035,3,2,222500
1080,3,1,141000
1344,3,1,115000
969,3,1,122000
1710,2,2,372402
1993,4,2,190000
1252,1,1,235000
1200,4,1,125000
1096,2,1,79000
1040,2,1,109500
1968,4,2,269500
1947,3,2,254900
2462,4,2,320000
1232,3,2,162500
2668,3,2,412500
1541,3,2,220000
882,1,1,103200
1616,3,2,152000
1355,4,2,127500
1867,2,1,190000
2161,3,1,325624
1720,3,2,183500
1707,2,2,228000
1382,2,1,128500
1656,3,1,215000
1767,2,2,239000
1362,3,1,163000
1651,3,2,184000
2158,4,2,243000
2060,4,2,211000
1920,4,2,172500
2234,1,2,501837
968,2,1,100000
1525,3,2,177000
1802,4,1,200100
1340,3,1,120000
2082,3,2,200000
1252,3,1,127000
3608,4,2,475000
1217,3,2,173000
1656,3,2,135000
1224,2,0,153337
1593,0,1,286000
2727,3,2,315000
1479,4,1,184000
1431,3,2,192000
1709,3,2,130000
864,3,1,127000
1456,3,2,148500
1726,3,2,311872
3112,4,2,235000
2229,5,1,104000
1713,3,2,274900
1121,2,2,140000
1279,3,2,171500
1310,2,2,112000
848,1,1,149000
1284,2,1,110000
1442,3,2,180500
1696,3,1,143900
1100,3,1,141000
2062,3,2,277000
1092,3,1,145000
864,2,1,98000
1212,3,2,186000
1852,3,2,252678
990,3,1,156000
1392,3,1,161750
1236,2,1,134450
1436,3,2,210000
1328,3,1,107000
1954,3,1,311500
1248,2,2,167240
1498,2,2,204900
2267,4,2,200000
1552,3,2,179900
864,2,1,97000
2392,3,2,386250
1302,3,2,112000
2520,4,2,290000
987,2,1,106000
912,3,1,125000
1555,2,2,192500
1194,3,1,148000
2794,4,2,403000
987,2,1,94500
894,3,1,128200
1960,4,2,216500
987,2,1,89500
1414,3,2,185500
1744,3,2,194500
1694,3,2,318000
1487,3,1,113000
1566,3,2,262500
866,2,1,110500
1440,3,1,79000
1217,3,1,120000
2110,3,2,205000
1872,3,2,241500
1928,4,2,137000
1375,2,1,140000
1668,3,2,180000
2144,4,2,277000
1306,3,1,76500
1625,2,2,235000
1640,3,2,173000
1302,3,2,158000
1314,3,1,145000
2291,4,2,230000
1728,3,2,207500
1604,3,2,220000
1792,3,2,231500
882,2,1,97000
1382,3,1,176000
2574,3,2,276000
1212,3,1,151000
1316,3,1,130000
764,2,1,73000
1422,3,2,175500
1511,3,2,185000
2192,4,2,179500
778,2,1,120500
1113,3,1,148000
1939,3,2,266000
1363,2,1,241500
2270,4,2,290000
1632,3,2,139000
816,2,1,124500
1548,3,2,205000
1560,3,2,201000
864,2,1,141000
2121,3,2,415298
2022,4,2,192000
1982,3,2,228500
1262,2,2,185000
1314,2,2,207500
1468,3,2,244600
1575,2,2,179200
1250,2,2,164700
1734,3,1,159000
858,3,1,88000
900,3,1,122000
1396,3,1,153575
1919,3,2,233230
1716,6,2,135900
1716,3,1,131000
2263,3,2,235000
1644,3,1,167000
1003,3,1,142500
1558,4,1,152000
1950,3,2,239000
1743,3,1,175000
1152,3,1,158500
1336,2,1,157000
2452,4,2,267000
1541,3,2,205000
894,3,1,149900
3493,3,3,295000
2000,3,2,305900
2243,4,2,225000
1406,3,1,89500
861,1,1,82500
1944,3,2,360000
1501,3,2,165600
972,2,1,132000
1118,3,1,119900
2036,3,2,375000
1641,3,1,178000
1432,3,2,188500
2353,4,2,260000
1959,3,2,270000
2646,4,2,260000
1472,3,2,187500
2596,4,3,342643
2468,4,2,354000
2730,4,2,301000
1163,3,1,126175
2978,5,2,242000
803,2,1,87000
1719,1,1,324000
1383,3,1,145250
2134,5,2,214500
1192,3,1,78000
1728,6,2,119000
1056,3,1,139000
1629,3,2,284000
1358,2,2,207000
1638,3,2,192000
1786,3,2,228950
1922,3,2,377426
1536,3,2,214000
1621,3,2,202500
1215,3,1,155000
1908,4,2,202900
841,2,1,82000
1040,2,2,87500
1684,2,2,266000
1112,3,1,85000
1577,3,1,140200
958,2,1,151500
1478,3,2,157500
1626,2,2,154000
2728,4,2,437154
1869,2,2,318061
1453,2,1,190000
1111,3,1,95000
720,2,1,105900
1595,2,1,140000
1200,3,2,177500
1167,3,2,173000
1142,3,1,134000
1352,3,1,130000
1924,3,2,280000
912,2,1,156000
1505,3,1,145000
1922,4,3,198500
987,2,1,118000
1574,3,2,190000
1344,3,1,147000
1394,3,1,159000
1431,3,1,165000
1268,2,1,132000
1287,3,1,162000
1664,3,2,172400
1588,4,2,134432
752,2,1,125000
1319,3,1,123000
1928,4,2,219500
904,1,0,61000
914,2,1,148000
2466,4,3,340000
1856,1,1,394432
1800,3,2,179000
1691,3,2,127000
1301,2,2,187750
1797,3,2,213500
784,2,1,76000
1953,3,2,240000
1269,2,2,192000
1184,5,1,81000
1125,3,1,125000
1479,3,2,191000
2332,3,2,426000
1367,4,1,119000
1961,3,2,215000
882,3,1,106500
788,2,1,100000
1034,2,1,109000
1144,3,1,129000
894,2,1,123000
1812,4,2,169500
1077,2,1,67000
1550,2,2,241000
1288,1,1,245500
1310,3,2,164990
672,2,1,108000
2263,4,2,258000
1572,3,2,168000
1620,3,2,150000
1639,3,1,115000
1680,4,2,177000
2172,3,2,280000
2078,3,2,339750
1276,3,1,60000
1056,3,1,145000
1478,2,2,222000
1028,2,1,115000
2097,3,2,228000
1340,3,2,181134
1400,3,1,149500
2624,4,2,239000
1134,3,1,126000
1056,3,1,142000
1344,2,2,206300
1602,3,2,215000
988,2,1,113000
2630,4,2,315000
1196,2,1,139000
1389,3,1,135000
1644,2,2,275000
907,3,1,109008
1208,2,2,195400
1412,3,2,175000
987,2,1,85400
1198,4,1,79900
1365,2,1,122500
1604,3,2,181000
630,1,1,81000
1661,3,2,212000
1118,2,1,116000
904,2,1,119000
694,2,1,90350
1196,3,1,110000
2402,2,2,555000
1440,4,2,118000
1573,3,2,162900
1258,2,2,172500
1908,4,2,210000
1689,3,1,127500
1888,2,2,190000
1886,4,2,199900
1376,3,2,119500
1183,2,1,120000
813,2,1,110000
1533,2,2,280000
1756,3,2,204000
1590,3,2,210000
1728,4,2,188000
1242,3,1,175500
1344,4,1,98000
1663,2,1,256000
1666,3,1,161000
1203,3,1,110000
1935,3,2,263435
1135,3,1,155000
864,3,1,62383
1660,3,1,188700
1040,3,2,124000
1414,2,2,178740
1277,2,1,167000
1644,3,1,146500
1634,3,2,250000
1710,3,2,187000
1502,1,1,212000
1969,3,2,190000
1072,2,1,148000
1976,2,2,440000
1652,2,2,251000
970,2,1,132500
1493,3,2,208900
2643,3,2,380000
1718,3,2,297000
1131,2,1,89471
1850,3,2,326000
1792,2,2,374000
1826,4,1,155000
1216,2,2,164000
999,3,1,132500
1113,3,1,147000
1073,3,1,156000
1484,3,2,175000
2414,3,2,160000
630,1,1,86000
1304,3,1,115000
1578,3,1,133000
1456,3,2,172785
1269,3,1,155000
886,2,1,91300
720,2,1,34900
3228,4,3,430000
1820,4,2,184000
899,3,1,130000
912,2,1,120000
1218,3,1,113000
1768,3,2,226700
1214,2,1,140000
1801,1,2,289000
1322,3,2,147000
1960,4,2,124500
1911,3,2,215000
1218,2,2,208300
1378,3,2,161000
1041,3,1,124500
1363,2,1,164900
1368,2,2,202665
864,3,1,129900
1080,3,1,134000
789,2,1,96500
2020,3,2,402861
2119,3,2,158000
2344,3,2,265000
1796,3,2,211000
2080,3,1,234000
1294,3,2,106250
1244,3,1,150000
1664,3,2,159000
4676,3,3,184750
2398,3,2,315750
1266,3,2,176000
928,2,1,132000
2713,3,2,446261
605,2,1,86000
2515,4,3,200624
1509,3,2,175000
1362,3,2,128000
827,2,1,107500
334,1,1,39300
1414,3,2,178000
1347,3,1,107500
1724,3,2,188000
864,3,1,111250
1159,3,1,158000
1601,3,2,272000
1838,2,2,315000
2285,4,2,248000
1680,3,2,213250
767,1,1,133000
1496,3,2,179665
2183,4,2,229000
1635,3,1,210000
768,2,1,129500
825,2,1,125000
2094,4,2,263000
1069,2,2,140000
928,3,1,112500
1717,3,2,255500
1126,2,2,108000
2046,3,2,284000
1048,2,1,113000
1092,2,1,141000
1336,3,1,108000
1446,3,2,175000
1557,2,2,234000
1392,3,1,121500
1389,2,1,170000
996,3,1,108000
1674,4,2,185000
2295,4,2,268000
1647,4,1,128000
2504,4,2,325000
1535,3,2,214000
2132,1,1,316600
943,2,1,135960
1728,6,2,142600
864,2,1,120000
1692,3,2,224500
1430,3,2,170000
1109,3,1,139000
1216,2,1,118500
1477,3,2,145000
1320,3,1,164500
1392,2,2,146000
1795,4,2,131500
1429,3,1,181900
2042,3,2,253293
816,3,1,118500
2775,3,3,325000
1573,3,1,133000
2028,2,2,369900
838,2,1,130000
860,2,1,137000
1473,1,1,143000
935,2,1,79500
1582,3,2,185900
2296,3,2,451950
816,2,1,138000
848,1,1,140000
924,3,1,110000
1826,3,2,319000
1368,3,1,114504
1402,2,0,194201
1647,3,2,217500
1556,3,2,151000
1904,3,2,275000
1375,3,1,141000
1915,3,2,220000
1200,2,2,151000
1494,3,2,221000
1986,3,2,205000
1040,3,1,152000
2008,3,3,225000
3194,4,2,359100
1029,3,1,118500
2153,3,2,313000
1032,3,2,148000
1872,3,2,261500
1120,3,1,147000
630,1,1,75500
1054,3,1,137500
1509,3,2,183200
832,2,1,105500
1828,3,2,314813
2262,4,2,305000
864,2,1,67000
2614,4,2,240000
980,3,1,135000
1512,2,2,168500
1790,4,1,165150
1116,3,1,160000
1422,3,1,139900
1520,3,1,153000
2080,5,1,135000
1350,3,1,168500
1750,3,1,124000
1554,2,2,209500
1411,3,2,82500
1056,3,1,139400
1056,0,0,144000
3395,8,2,200000
800,1,1,60000
1387,3,2,93000
796,2,1,85000
1567,1,2,264561
1518,1,1,274000
1929,3,2,226000
2704,4,2,345000
1620,4,2,152000
1766,2,2,370878
981,3,1,143250
1048,3,1,98300
1094,3,1,155000
1839,4,1,155000
630,1,1,84500
1665,3,2,205950
1510,4,1,108000
1716,2,2,191000
1469,3,1,135000
2113,2,2,350000
1092,3,1,88000
1053,3,1,145500
1502,3,1,149000
1458,3,1,97500
1486,3,1,167000
1935,3,2,197900
2448,4,2,402000
1392,2,1,110000
1181,3,2,137500
2097,1,1,423000
1936,3,2,230500
2380,3,2,129000
1679,3,2,193500
1437,3,1,168000
1180,2,1,137500
1476,3,2,173500
1369,3,2,103600
1208,3,1,165000
1839,3,2,257500
1136,3,1,140000
1441,3,2,148500
1774,4,2,87000
792,2,1,109500
2046,3,2,372500
988,3,1,128500
923,2,2,143000
1520,3,1,159434
1291,2,1,173000
1668,3,2,285000
1839,4,2,221000
2090,3,2,207500
1761,3,3,227875
1102,2,2,148800
1419,2,2,392000
1362,2,2,194700
848,1,1,141000
4316,4,3,755000
2519,4,2,335000
1073,2,1,108480
1539,3,1,141500
1137,2,2,176000
616,2,1,89000
1148,2,1,123500
894,3,1,138500
1391,2,2,196000
1800,3,2,312500
1164,3,1,140000
2576,4,2,361919
